Name,Formula,Dipole momentμ debye
"(-)-2,3-dinitroxybutane",C4H8N2O6,3.83
(1-chloroethenyl)trimethylgermane,C5H11ClGe,1.82
(1-methylpropoxy)cyclopropane,C7H14O,1.35
"(1E,3E)-1,4-bis(butylsulfonyl)buta-1,3-diene",C12H22O4S2,4.19
"(1E,4E)-1,5-bis(2,4-dimethoxyphenyl)penta-1,4-dien-3-one",C21H22O5,4.53
"(1E,4E)-1,5-bis(4-methoxyphenyl)penta-1,4-dien-3-one",C19H18O3,3.72
"(1E,4E)-1,5-diphenylpenta-1,4-dien-3-one",C17H14O,3.28
"(1E,4E)-1-(2,4,6-trimethoxyphenyl)-5-(2,4-dimethoxyphenyl)-1,4-pentanediene-3-one",C22H24O6,5.67
"(1E,4E)-1-furan-2-yl-5-phenylpenta-1,4-dien-3-one",C15H12O2,3.29
"(1E,5E)-1,5-bis(4-chlorophenyl)-1,4-pentandiene-3-one",C17H12Cl2O,2.08
"(1E,5E)-1,5-bis(4-nitrophenyl)-1,4-pentandiene-3-one",C17H12N2O5,2.06
"(1R,2R)-1,2-dibromo-1,4,4-trimethylcyclohexane",C9H16Br2,2.96
"(1R,2R)-1,2-dibromo-1-ethylcyclohexane",C8H14Br2,1.11
"(1R,2R)-1,2-dibromo-1-methylcyclohexane",C7H12Br2,1.36
"(1R,2R)-1,2-dichloro-1-ethylcyclohexane",C8H14Cl2,1.49
"(1R,2R)-1,2-dichloro-1-methylcyclohexane",C7H12Cl2,1.66
"(1R,2R)-1-chloro-2-bromo-1,4,4-trimethylcyclohexane",C9H16BrCl,2.93
"(1R,2R)-2-bromo-1-chloro-1-methylcyclohexane",C7H12BrCl,1.53
"(1R,2R,4R)-2-cyanobicyclo[2,2,2]oct-5-ene",C9H11N,3.8
"(1R,2S)-2-cyano-2-methylbicyclo[2,2,1]hept-5-ene",    ⋮,3.04
"(1R,2S,3R,4S)-bicyclo[2,2,2]oct-5-ene-2,3-dicarboxylic anhydride",C10H10O3,4.53
"(1R,4R,7S)-bicyclo[2.2.2]oct-2-ene-7-carbonitrile",C9H11N,3.59
"(1R,4S,5R,6R)-5,6-dicyanobicyclo[2,2,2]oct-2-ene",C10H10N2,3.96
"(1R,4S,5R,6S)-5,6-dicyanobicyclo[2,2,2]oct-2-ene",    ⋮,6.53
"(1S,2S)-2-cyano-2-methylbicyclo[2,2,1]heptane",C9H13N,2.63
"(1Z,3E)-1,4-bis(butylsulfonyl)buta-1,3-diene",C12H22O4S2,5.19
"(1Z,3Z)-1,4-bis(butylsulfonyl)buta-1,3-diene",    ⋮,4.11
